id,book,page,figure,figure_title,dcode,description,part_no,qty,model,remarks,fits,fits_why
EC-025-01,EC,25,1000A-1,SHORT ENGINE BLOCK & GASKET SETS,10 271S,"GASKET SET, ENGINE",N201-99-100,1,'81 & '82 MODELS,,yes,
EC-025-02,EC,25,1000A-1,SHORT ENGINE BLOCK & GASKET SETS,,,N231-99-100,1,'83 MODEL,,no,'83 model
EC-025-03,EC,25,1000A-1,SHORT ENGINE BLOCK & GASKET SETS,23 0401,O-RING SET,1757-23-040B,1,,,yes,
EC-025-04,EC,25,1000A-1,SHORT ENGINE BLOCK & GASKET SETS,23 800,"ENGINE BLOCK, SHORT",N201-23-200,1,'81 & '82 MODELS M/T,,no,M/T
EC-025-05,EC,25,1000A-1,SHORT ENGINE BLOCK & GASKET SETS,,,,,,REFER TO PARTS BULL. NOS. R-6 & R-8 FOR MANA ENGINE PROGRAM.,yes,note row
EC-025-06,EC,25,1000A-1,SHORT ENGINE BLOCK & GASKET SETS,,,N202-23-200,1,'81 & '82 MODELS A/T,,yes,
EC-025-07,EC,25,1000A-1,SHORT ENGINE BLOCK & GASKET SETS,,,N231-23-200,1,'83 MODEL M/T,,no,'83 model M/T
EC-025-08,EC,25,1000A-1,SHORT ENGINE BLOCK & GASKET SETS,,,N232-23-200,1,'83 MODEL A/T,,no,'83 model
EC-026-01,EC,26,1030A-1,ROTOR HOUSING,10 100A,"HOUSING, ROTOR",N201-10-100,2,,,yes,
EC-026-02,EC,26,1030A-1,ROTOR HOUSING,10 105A,"STUD, REACTOR",0839-10-105,4,,,yes,
EC-026-03,EC,26,1030A-1,ROTOR HOUSING,10 1111,"DOWEL, TUBULAR",0839-10-111B,4,,,yes,
EC-026-04,EC,26,1030A-1,ROTOR HOUSING,10 1711,"RING, SQUARE",1757-10-171A,4,,,yes,
EC-026-05,EC,26,1030A-1,ROTOR HOUSING,10 172A,"RING, SQUARE-OUTER",1480-10-172,4,,,yes,
EC-026-06,EC,26,1030A-1,ROTOR HOUSING,10 1731,O-RING,N231-10-173,4,,,yes,
EC-026-07,EC,26,1030A-1,ROTOR HOUSING,10 2501,"CAP, OIL FILLER",8871-10-250A,1,,,yes,
EC-026-08,EC,26,1030A-1,ROTOR HOUSING,10 2521,"GASKET, OIL CAP",8871-10-252,1,,,yes,
EC-026-09,EC,26,1030A-1,ROTOR HOUSING,10 4001,"HOUSING, INTERMEDIATE",8341-10-400,1,,,yes,
EC-026-10,EC,26,1030A-1,ROTOR HOUSING,10 410,"PIPE, OIL FILLER",3565-10-410A,1,,,yes,
EC-026-11,EC,26,1030A-1,ROTOR HOUSING,10 4171,"JOINT, PIPE",8562-10-417,1,,,yes,
EC-026-12,EC,26,1030A-1,ROTOR HOUSING,10 450,DIPSTICK,N201-10-830,1,,,yes,
EC-026-13,EC,26,1030A-1,ROTOR HOUSING,10 5001,"GEAR, STATIONARY-FRONT",3743-10-500,1,,,yes,
EC-026-14,EC,26,1030A-1,ROTOR HOUSING,10 5021,"BEARING, MAIN",0820-10-502B,2,,,yes,
EC-026-15,EC,26,1030A-1,ROTOR HOUSING,10 5501,"GEAR, STATIONARY-REAR",3743-10-550A,1,,,yes,
EC-026-16,EC,26,1030A-1,ROTOR HOUSING,10 5551,O-RING,0813-10-555A,1,,,yes,
EC-026-17,EC,26,1030A-1,ROTOR HOUSING,10 5561,"SEAL, OIL",1668-10-556A,1,,,yes,
EC-027-01,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 1741,O-RING,N231-10-174,1,,,yes,
EC-027-02,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 2001,"HOUSING, FRONT",8981-10-200,1,,,yes,
